"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"F6WIT2",0.0024383983363911,"protein_folding","Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=1","protein metabolism;other metabolic processes","nucleus;other cell component","enzyme regulator activity;other molecular function"
"Q9UIV8",0.00243013845901522,"intracellular_proteolysis","Serpin B13 OS=Homo sapiens OX=9606 GN=SERPINB13 PE=1 SV=2","other biological processes","non-structural extracellular;cytosol;nucleus;other cytoplasmic organelle;other cell component","enzyme regulator activity;other molecular function"
"P48735",0.00242636469261725,"citric_acid_cycle","Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2","other metabolic processes;developmental processes;other biological processes","cytosol;mitochondrion;other cytoplasmic organelle","other molecular function"
"P00505",0.00242436981554431,"AA_catabolic_process","Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3","other metabolic processes;transport;developmental processes;other biological processes","plasma membrane;other membranes;mitochondrion;other cell component","other molecular function"
"Q71UI9",0.00241856577713734,"DNA_packaging","Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3","cell organization and biogenesis","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P06703",0.00241788200754038,"intracellular_signalling","Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1","cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","transporter activity;cytoskeletal activity;other molecular function"
"P62491",0.0023985141252093,"intracellular_transport","Ras-related protein Rab-11A OS=Homo sapiens OX=9606 GN=RAB11A PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"Q9H3K6",0.00239420956865607,"iron_homeostasis","BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"P41567",0.00238044722451693,"translation","Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","translational apparatus;nucleus;other cell component","translation activity;nucleic acid binding activity"
"Q9UJZ1",0.00236209173941719,"cell_proliferation","Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytoskeleton;mitochondrion","signal transduction activity or receptor binding;other molecular function"
"A0A0J9YXZ5",0.00235404804460706,"intracellular_signalling","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1","signal transduction;other biological processes","",""
"H9KV45",0.00235287875498785,"intracellular_proteolysis","Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1","","","other molecular function"
"A0A0C4DGH5",0.00234912964596379,"intracellular_proteolysis","Cullin-associated NEDD8-dissociated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=1","cell organization and biogenesis","cytosol;ER/Golgi;nucleus",""
"A8MUX0",0.00234726811418686,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 16-1 OS=Homo sapiens OX=9606 GN=KRTAP16-1 PE=3 SV=1","","cytosol;cytoskeleton",""
"Q9NR12",0.00234247690694591,"cell_organization","PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1","cell organization and biogenesis;transport;developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"Q15084",0.00232744413977262,"protein_folding","Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1","other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;ER/Golgi;other cell component","other molecular function"
"Q9BPW8",0.00231370965795091,"pain_perception","Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1","other biological processes","plasma membrane;other membranes;mitochondrion","other molecular function"
"Q7Z406",0.00230931845133888,"cell_organization","Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P05109",0.00229697045054921,"inflammation_regulation","Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1","cell adhesion;cell-cell signaling;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"Q9BYR8",0.00229417002398511,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 3-1 OS=Homo sapiens OX=9606 GN=KRTAP3-1 PE=1 SV=1","","cytosol;cytoskeleton","other molecular function"
"C9J9T0",0.0022869929249456,"additional_carb_catabolic_process","Ribulose-5-phosphate-3-epimerase, isoform CRA_a OS=Homo sapiens OX=9606 GN=RPE PE=1 SV=1","other metabolic processes","","other molecular function"
"Q6ZSI9",0.00228673381537891,"intracellular_proteolysis","Calpain-12 OS=Homo sapiens OX=9606 GN=CAPN12 PE=2 SV=1","protein metabolism","other cell component","other molecular function"
"Q8IYJ1",0.00226915381808578,"cell_differentiation","Copine-9 OS=Homo sapiens OX=9606 GN=CPNE9 PE=1 SV=3","other biological processes","plasma membrane;other membranes","other molecular function"
"P06702",0.00226701376496464,"inflammation_regulation","Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1","cell adhesion;cell-cell signaling;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"A0A0A0MQU5",0.00226681793826914,"cell_organization","Myosin-binding protein C, cardiac-type OS=Homo sapiens OX=9606 GN=MYBPC3 PE=1 SV=1","","",""
"A0A140TA67",0.00224551511029311,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-6 OS=Homo sapiens OX=9606 GN=KRTAP9-6 PE=4 SV=1","","cytoskeleton",""
"P02533",0.00224416724476255,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4","cell organization and biogenesis;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"O75396",0.0022349250884233,"intracellular_transport","Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4","","",""
"K7ERE3",0.00221650838194514,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1","","cytoskeleton","other molecular function"
"Q16775",0.00220915192925134,"glutathione_metabolism","Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2","other metabolic processes","cytosol;mitochondrion;other cell component","other molecular function"
"Q86SG7",0.00218980395035584,"innate_immune_system","Lysozyme g-like protein 2 OS=Homo sapiens OX=9606 GN=LYG2 PE=1 SV=2","other metabolic processes;stress response","non-structural extracellular","other molecular function"
"P36952",0.00218869364911443,"cell_growth_control","Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","non-structural extracellular;other cell component","enzyme regulator activity"
"P50570",0.00217203048985421,"intracellular_transport","Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"P25685",0.00217091093677897,"protein_folding","DnaJ homolog subfamily B member 1 OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=4","stress response;developmental processes;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"O15118",0.00216797193877438,"cholesterol_homeostasis","NPC intracellular cholesterol transporter 1 OS=Homo sapiens OX=9606 GN=NPC1 PE=1 SV=2","cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"Q15181",0.0021658288350688,"protein_modification","Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2","other metabolic processes","cytosol;other cell component","other molecular function"
"O60784",0.00216256297521133,"intracellular_transport","Target of Myb protein 1 OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2","transport;signal transduction","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function"
"P38606",0.00213486227786148,"protone_transmembrane_transport","V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2","other metabolic processes;transport;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"Q7L5L3",0.00212590456413707,"membrane_lipid_metabolism","Lysophospholipase D GDPD3 OS=Homo sapiens OX=9606 GN=GDPD3 PE=2 SV=3","other metabolic processes","other membranes;ER/Golgi;other cell component","other molecular function"
"H0YFD6",0.00211370715091721,"beta_oxidation","Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2","other metabolic processes","mitochondrion","other molecular function"
"Q01546",0.00210349339424324,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 2 oral OS=Homo sapiens OX=9606 GN=KRT76 PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton",""
"P27482",0.00210187347755203,"cell_migration","Calmodulin-like protein 3 OS=Homo sapiens OX=9606 GN=CALML3 PE=1 SV=2","other biological processes","","enzyme regulator activity;other molecular function"
"Q14574",0.00209877449610406,"cell_adhesion_&_contact","Desmocollin-3 OS=Homo sapiens OX=9606 GN=DSC3 PE=1 SV=3","cell adhesion;other biological processes","plasma membrane;other membranes;other cell component","other molecular function"
"Q86Y82",0.00209252813375036,"intracellular_transport","Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1","cell organization and biogenesis;other metabolic processes;transport;other biological processes","other membranes;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"P47929",0.00208711800696477,"cell_adhesion_&_contact","Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7 PE=1 SV=2","cell adhesion;other biological processes","non-structural extracellular;cytosol;nucleus","other molecular function"
"P49770",0.00207623248434801,"translation","Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3","protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"P61604",0.00207396795781979,"protein_folding","10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2","stress response;other biological processes","mitochondrion","other molecular function"
"Q9Y5Y6",0.00205953781196092,"ECM_organization","Suppressor of tumorigenicity 14 protein OS=Homo sapiens OX=9606 GN=ST14 PE=1 SV=2","protein metabolism;developmental processes","non-structural extracellular;plasma membrane;other membranes","other molecular function"
"Q06830",0.00205686388453196,"oxidative_stress_response","Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1","cell cycle OR cell proliferation;other metabolic processes;stress response;developmental processes;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"B5MDF5",0.00203471454372977,"nuclear_transport","GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=1","transport","nucleus","other molecular function"
"P59998",0.00202985549996445,"cell_organization","Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3","cell organization and biogenesis","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"P22392",0.00202756378389878,"nucleotide/-side_metabolism","Nucleoside diphosphate kinase B OS=Homo sapiens OX=9606 GN=NME2 PE=1 SV=1","cell adhesion;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component","nucleic acid binding activity;kinase activity;other molecular function"
"Q99623",0.002019906080367,"cell_growth_control","Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;mitochondrion;nucleus;other cell component","other molecular function"
"P31151",0.00201816160333676,"innate_immune_system","Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4","stress response;developmental processes;other biological processes","non-structural extracellular;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q6A162",0.00200833006670325,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 40 OS=Homo sapiens OX=9606 GN=KRT40 PE=1 SV=2","","cytosol;cytoskeleton","other molecular function"
"Q9UBM7",0.00199855396294901,"cholesterol_homeostasis","7-dehydrocholesterol reductase OS=Homo sapiens OX=9606 GN=DHCR7 PE=1 SV=1","other metabolic processes;other biological processes","other membranes;ER/Golgi;nucleus","other molecular function"
"P09525",0.00199810596822522,"intracellular_transport","Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4","signal transduction;other biological processes","plasma membrane;other membranes;nucleus;other cell component","enzyme regulator activity;other molecular function"
"P37108",0.00199225225866569,"intracellular_transport","Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2","transport","non-structural extracellular;cytosol;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P49411",0.00199018366771379,"translation","Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2","protein metabolism;other metabolic processes;other biological processes","mitochondrion;other cell component","nucleic acid binding activity;other molecular function"
"Q07666",0.00197539037852064,"intracellular_signalling","KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1","cell cycle OR cell proliferation;RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"O14949",0.00197483699724584,"oxidative_phosphorylation","Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4","other metabolic processes;transport;developmental processes","other membranes;mitochondrion",""
"O75223",0.00197073315442966,"glutathione_metabolism","Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1","cell organization and biogenesis;signal transduction","cytosol","other molecular function"
"P26447",0.00196423926161142,"cell_cycle_regulation","Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1","developmental processes;other biological processes","nucleus;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"P06744",0.00196405422077147,"glycolysis","Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4","other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q5T749",0.00196099185410513,"cell_differentiation","Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1","","other cell component",""
"Q04941",0.0019568509623337,"ion_transmembrane_transport","Proteolipid protein 2 OS=Homo sapiens OX=9606 GN=PLP2 PE=1 SV=1","transport;signal transduction;other biological processes","plasma membrane;other membranes;ER/Golgi","transporter activity;other molecular function"
"Q8NFI3",0.00195277232538301,"protein_modification","Cytosolic endo-beta-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=ENGASE PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","cytosol","other molecular function"
"P60953",0.00195192585880653,"cell_cycle_regulation","Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2","cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;other molecular function"
"P60410",0.00194760837163038,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-8 OS=Homo sapiens OX=9606 GN=KRTAP10-8 PE=1 SV=2","","cytosol;cytoskeleton","other molecular function"
"A0A286YFA2",0.00193751902036554,"AA_biosynthesis","D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=1","","","other molecular function"
"H7C123",0.00193102295760028,"translation","60S ribosomal protein L10 (Fragment) OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"P62873",0.00192479110979951,"intracellular_signalling","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3","cell-cell signaling;cell cycle OR cell proliferation;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;other cell component","cytoskeletal activity;other molecular function"
"P20700",0.00192219691819356,"cell_organization","Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2","","other membranes;cytosol;cytoskeleton;nucleus","nucleic acid binding activity;other molecular function"
"P25788",0.00191966102706563,"intracellular_proteolysis","Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2","protein metabolism;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"P36543",0.00191448706538659,"protone_transmembrane_transport","V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1","transport;other biological processes","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"P01857",0.00191339788633,"adaptive_immune_system","Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1","cell organization and biogenesis;stress response;transport;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes","signal transduction activity or receptor binding;other molecular function"
"K7EMH1",0.00191026594449141,"translation","60S ribosomal protein L22 (Fragment) OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"Q04760",0.00190860242945732,"glutathione_metabolism","Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4","other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","other molecular function"
"Q5STU3",0.00189691672535979,"RNA_processing","Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=2","","nucleus","nucleic acid binding activity;other molecular function"
"A0A1B0GVD5",0.00189047793769516,"intracellular_proteolysis","Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1","protein metabolism","non-structural extracellular;other cytoplasmic organelle","other molecular function"
"P54652",0.00189013087711404,"stress_response","Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"K7EKI8",0.00189005495325583,"cell_organization","Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=1","cell organization and biogenesis","cytoskeleton;other cell component",""
"P11387",0.00187398121953684,"DNA_replication","DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2","cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;developmental processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;kinase activity;other molecular function"
"Q8N1N4",0.00187016724516975,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2","","cytosol;cytoskeleton",""
"Q3LI72",0.00186675159607337,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 19-5 OS=Homo sapiens OX=9606 GN=KRTAP19-5 PE=1 SV=1","","cytosol;cytoskeleton",""
"E9PIL2",0.00186275242601599,"transcription","Ankyrin repeat domain-containing protein 42 OS=Homo sapiens OX=9606 GN=ANKRD42 PE=1 SV=1","other biological processes","nucleus","other molecular function"
"Q9UH99",0.00186265599092451,"cell_organization","SUN domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUN2 PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;other biological processes","other membranes;nucleus;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"P31942",0.00186233169773899,"RNA_processing","Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2","RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component",""
"Q9Y3I0",0.00186111209078308,"RNA_processing","RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1","RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus;other cell component","cytoskeletal activity;other molecular function"
"P14625",0.00184999868754258,"protein_folding","Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;ER/Golgi;other cell component","signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function"
"Q9NZH8",0.00184739985439162,"inflammation_regulation","Interleukin-36 gamma OS=Homo sapiens OX=9606 GN=IL36G PE=1 SV=1","cell-cell signaling;stress response;signal transduction;other biological processes","non-structural extracellular;other cell component","signal transduction activity or receptor binding"
"Q9Y426",0.00184455966696742,"(none/unknown)","C2 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=C2CD2 PE=1 SV=2","","other membranes",""
"Q99714",0.00183504178844161,"beta_oxidation","3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3","cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes","plasma membrane;other membranes;mitochondrion;other cell component","nucleic acid binding activity;other molecular function"
"A0A087WUM3",0.00182690798644436,"oxidative_phosphorylation","NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 OS=Homo sapiens OX=9606 GN=NDUFC2-KCTD14 PE=1 SV=1","other metabolic processes","other membranes;mitochondrion",""
"P60412",0.00182229733606987,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-11 OS=Homo sapiens OX=9606 GN=KRTAP10-11 PE=1 SV=3","","cytosol;cytoskeleton",""
"Q8TF09",0.0018199086819224,"intracellular_transport","Dynein light chain roadblock-type 2 OS=Homo sapiens OX=9606 GN=DYNLRB2 PE=1 SV=1","other biological processes","cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"Q71DI3",0.00181511139898508,"DNA_packaging","Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3","cell organization and biogenesis","non-structural extracellular;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P62913",0.00180639319113583,"translation","60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes","cytosol;translational apparatus;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function"
"A0A087WXI5",0.00179379966657775,"cell_adhesion_&_contact","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=1","","",""
"M0QXM4",0.00178065262967471,"other_transmembrane_transport","Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=1","transport","plasma membrane;other membranes","transporter activity"
"P49441",0.0017590934856467,"intracellular_signalling","Inositol polyphosphate 1-phosphatase OS=Homo sapiens OX=9606 GN=INPP1 PE=1 SV=1","other metabolic processes;signal transduction","cytosol","other molecular function"
"Q6NXG1",0.00175740285093385,"RNA_processing","Epithelial splicing regulatory protein 1 OS=Homo sapiens OX=9606 GN=ESRP1 PE=1 SV=2","RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component","nucleic acid binding activity"
"E9PDF2",0.0017565745642198,"citric_acid_cycle","2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=1","other metabolic processes","mitochondrion","other molecular function"
"Q92820",0.00175242376034514,"intracellular_proteolysis","Gamma-glutamyl hydrolase OS=Homo sapiens OX=9606 GN=GGH PE=1 SV=2","protein metabolism;other metabolic processes;other biological processes","non-structural extracellular;cytosol;other cytoplasmic organelle;other cell component","other molecular function"
"B7ZC39",0.00174752586487486,"intracellular_transport","Endophilin-B2 OS=Homo sapiens OX=9606 GN=SH3GLB2 PE=1 SV=1","","other cell component",""
"O75844",0.00174464610036726,"protein_modification","CAAX prenyl protease 1 homolog OS=Homo sapiens OX=9606 GN=ZMPSTE24 PE=1 SV=2","cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","other membranes;ER/Golgi;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"G3V279",0.00172940438781256,"cell_cycle_regulation","Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1","","",""
"F8W809",0.0017282448524295,"oxidative_stress_response","Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1","other biological processes","nucleus","other molecular function"
"P63220",0.00172581928508033,"translation","40S ribosomal protein S21 OS=Homo sapiens OX=9606 GN=RPS21 PE=1 SV=1","protein metabolism;RNA metabolism OR transcription;other metabolic processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","other molecular function"
"P62857",0.0017164808094385,"translation","40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","other membranes;cytosol;ER/Golgi;translational apparatus;nucleus","other molecular function"
"A6NFX8",0.00170751509847279,"nucleotide/-side_metabolism","ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1","","","other molecular function"
"Q8IUC2",0.00170739758231016,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 8-1 OS=Homo sapiens OX=9606 GN=KRTAP8-1 PE=1 SV=1","","cytosol;cytoskeleton",""
